Tn,Tavg,RH_avg,ss,ff_avg
25.00,27.60,79.00,3.00,2.00
26.00,28.60,74.00,2.30,1.00
24.00,29.10,74.00,4.10,2.00
25.00,27.60,82.00,0.20,1.00
25.00,28.80,76.00,3.50,2.00
25.00,27.70,79.00,1.40,1.00
25.00,27.90,74.00,3.20,1.00
25.00,27.20,81.00,0.60,1.00
24.00,27.70,82.00,2.30,2.00
25.00,27.90,82.00,1.70,0.00
25.00,28.40,74.00,1.80,2.00
25.00,28.10,74.00,1.00,2.00
25.00,28.80,70.00,4.40,3.00
26.00,26.90,73.00,0.20,2.00
26.00,28.90,70.00,4.80,1.00
26.00,28.50,68.00,4.70,0.00
26.00,28.80,74.00,3.80,2.00
25.00,28.50,74.00,4.40,2.00
26.00,28.80,69.00,3.20,2.00
25.00,29.10,68.00,5.80,3.00
26.00,28.90,67.00,5.80,2.00
25.00,28.70,73.00,4.50,1.00
26.00,28.70,72.00,5.60,2.00
26.00,28.80,70.00,5.00,2.00
24.00,27.50,79.00,1.50,2.00
25.00,27.70,77.00,5.50,1.00
25.00,28.70,70.00,5.50,2.00
25.00,29.10,70.00,6.40,2.00
25.00,28.70,70.00,5.60,2.00
25.00,28.30,70.00,1.00,2.00
25.00,28.00,68.00,6.30,2.00
25.00,29.00,65.00,6.50,2.00
25.00,28.40,70.00,8.00,2.00
26.00,28.60,71.00,7.40,2.00
26.00,29.10,70.00,8.00,2.00
25.00,28.80,74.00,8.00,2.00
25.00,29.00,70.00,6.50,2.00
26.00,29.50,53.00,4.00,2.00
25.00,29.60,70.00,8.00,2.00
26.00,28.70,70.00,7.60,2.00
26.00,29.20,68.00,4.00,2.00
25.00,28.50,73.00,4.00,2.00
26.00,28.70,76.00,3.60,1.00
26.00,28.90,71.00,4.00,2.00
26.00,29.20,73.00,4.00,3.00
26.00,29.30,70.00,8.00,2.00
26.00,29.10,72.00,8.00,1.00
27.00,29.40,72.00,8.00,0.00
26.00,29.20,75.00,6.00,1.00
25.00,29.00,74.00,7.20,2.00
24.00,27.70,70.00,1.40,0.00
26.00,28.60,75.00,5.10,2.00
26.00,28.80,66.00,5.50,2.00
25.00,29.70,63.00,8.00,2.00
26.00,28.50,70.00,7.90,2.00
25.00,29.10,62.00,8.00,2.00
26.00,29.60,59.00,8.00,2.00
26.00,29.70,59.00,8.00,1.00
25.00,29.80,59.00,8.00,2.00
24.00,29.00,61.00,5.00,2.00
25.00,29.00,60.00,8.00,2.00
25.00,29.20,58.00,8.00,3.00
26.00,30.30,61.00,8.00,2.00
27.00,29.90,67.00,8.00,3.00
24.00,29.30,68.00,7.50,2.00
25.00,28.30,75.00,5.30,2.00
25.00,29.10,63.00,8.40,3.00
26.00,29.70,55.00,8.00,2.00
25.00,30.40,52.00,8.00,2.00
25.00,28.90,64.00,8.00,1.00
24.00,29.50,68.00,8.00,2.00
25.00,29.20,66.00,8.00,1.00
26.00,29.00,64.00,7.50,2.00
26.00,29.80,64.00,7.60,2.00
26.00,29.20,69.00,8.00,2.00
27.00,29.80,70.00,7.40,2.00
27.00,30.10,69.00,8.00,1.00
26.00,29.70,62.00,8.00,1.00
26.00,30.10,59.00,8.00,1.00
26.00,29.60,68.00,8.00,1.00
26.00,29.40,65.00,3.30,1.00
25.00,29.50,69.00,4.00,2.00
26.00,30.00,65.00,5.00,1.00
27.00,30.50,56.00,8.00,2.00
25.00,30.30,56.00,8.00,2.00
26.00,29.90,64.00,6.20,1.00
27.00,28.80,72.00,6.20,2.00
25.00,29.90,70.00,7.20,1.00
26.00,29.00,75.00,4.50,2.00
27.00,29.60,71.00,6.50,2.00
27.00,30.00,74.00,7.20,1.00
26.00,29.80,76.00,7.40,1.00
27.00,30.20,64.00,5.50,2.00
27.00,30.80,58.00,8.00,2.00
27.00,30.40,66.00,8.00,2.00
26.00,30.80,62.00,7.00,2.00
27.00,30.10,69.00,7.70,2.00
25.00,29.60,69.00,3.00,2.00
26.00,29.10,72.00,6.70,2.00
26.00,30.30,64.00,8.00,2.00
26.00,30.20,71.00,8.00,2.00
27.00,29.60,74.00,7.30,2.00
27.00,30.00,70.00,5.00,2.00
27.00,29.40,72.00,3.00,1.00
27.00,29.00,72.00,0.20,2.00
27.00,30.20,71.00,1.00,2.00
27.00,30.00,68.00,8.00,2.00
26.00,30.40,72.00,8.00,1.00
27.00,30.60,67.00,8.00,0.00
27.00,30.80,65.00,8.00,1.00
27.00,30.20,69.00,6.80,2.00
26.00,29.90,72.00,3.50,0.00
26.00,28.90,76.00,1.00,2.00
26.00,28.50,74.00,5.40,2.00
26.00,29.90,73.00,7.30,2.00
25.00,28.40,74.00,1.80,2.00
25.00,27.10,82.00,1.00,2.00
26.00,34.30,72.00,7.00,2.00
25.00,28.60,74.00,1.00,1.00
26.00,28.70,72.00,2.30,2.00
26.00,29.40,72.00,6.50,2.00
26.00,29.20,74.00,6.00,2.00
26.00,29.50,72.00,2.60,3.00
27.00,28.70,74.00,1.50,2.00
26.00,29.10,72.00,4.50,3.00
27.00,29.50,72.00,6.00,2.00
27.00,29.80,73.00,5.30,2.00
27.00,30.10,70.00,5.30,3.00
